Code,DisplayName,Keywords,year,sport,manufacturer,product,setType,setLine,parallel,printRun,serial,subSetSize,packOdds
1994_95_upper_deck_sp_championship_basketball_playoff_heroes_die_cut,1994-95 Upper Deck SP Championship Basketball,upper deck sp championship basketball playoff heroes die cut hard pull,1994-95,Basketball,Upper Deck,SP Championship,Insert,Playoff Heroes,Die-Cut,,,,1:225
1994_95_fleer_ultra_basketball_scoring_kings,1994-95 Fleer Ultra Basketball,fleer ultra basketball scoring kings hard pull verify odds,1994-95,Basketball,Fleer,Ultra,Insert,Scoring Kings,,,,,1:37
1994_95_upper_deck_collectors_choice_basketball_gold_signature,1994-95 Upper Deck Collector's Choice Basketball,upper deck collectors choice basketball gold signature hard pull,1994-95,Basketball,Upper Deck,Collector's Choice,Base,Base,Gold Signature,,,,1:35
1994_95_topps_finest_basketball_cornerstone,1994-95 Topps Finest Basketball,topps finest basketball cornerstone hard pull verify odds,1994-95,Basketball,Topps,Finest,Insert,Cornerstone,,,,,1:24
1994_95_topps_stadium_club_basketball_beam_team,1994-95 Topps Stadium Club Basketball,topps stadium club basketball beam team verify exact odds,1994-95,Basketball,Topps,Stadium Club,Insert,Beam Team,,,,,
1994_95_topps_stadium_club_basketball_first_day_issue,1994-95 Topps Stadium Club Basketball,topps stadium club basketball first day issue verify exact odds,1994-95,Basketball,Topps,Stadium Club,Base,Base,First Day Issue,,,,
1994_donruss_baseball_elite_series,1994 Donruss Baseball,donruss baseball elite series hard pull serial numbered verify odds,1994,Baseball,Donruss,,Insert,Elite Series,,10000,#/10000,,1:75
1994_upper_deck_sp_baseball_holoview,1994 Upper Deck SP Baseball,upper deck sp baseball holoview holoview fx die cut verify exact odds,1994,Baseball,Upper Deck,SP,Insert,Holoview,,,,,
1994_upper_deck_sp_baseball_holoview_fx,1994 Upper Deck SP Baseball,upper deck sp baseball holoview fx verify exact odds,1994,Baseball,Upper Deck,SP,Insert,Holoview FX,,,,,
1994_upper_deck_sp_baseball_die_cut,1994 Upper Deck SP Baseball,upper deck sp baseball die cut verify exact odds,1994,Baseball,Upper Deck,SP,Base,Base,Die-Cut,,,,
1994_flair_baseball_hot_gloves,1994 Flair Baseball,flair baseball hot gloves hard insert verify exact odds,1994,Baseball,Fleer,Flair,Insert,Hot Gloves,,,,,
1994_topps_finest_baseball_refractor,1994 Topps Finest Baseball,topps finest baseball refractor early refractor verify odds,1994,Baseball,Topps,Finest,Base,Base,Refractor,,,,
1994_bowmans_best_baseball_refractor,1994 Bowman's Best Baseball,bowmans best baseball refractor early bowmans best verify odds,1994,Baseball,Bowman,Best,Base,Base,Refractor,,,,
1994_upper_deck_sp_football_holoview,1994 Upper Deck SP Football,upper deck sp football holoview die cut verify exact odds,1994,Football,Upper Deck,SP,Insert,Holoview,,,,,
1994_upper_deck_sp_football_die_cut,1994 Upper Deck SP Football,upper deck sp football die cut verify exact odds,1994,Football,Upper Deck,SP,Base,Base,Die-Cut,,,,
1994_topps_finest_football_refractor,1994 Topps Finest Football,topps finest football refractor early refractor verify odds,1994,Football,Topps,Finest,Base,Base,Refractor,,,,
1994_bowmans_best_football_refractor,1994 Bowman's Best Football,bowmans best football refractor early bowmans best verify odds,1994,Football,Bowman,Best,Base,Base,Refractor,,,,
