list,year,sport,DisplayName,setLine,parallel,inDataset,matchType,matchedTitle,currentPackOdds,currentPrintRun,currentSerial,notes
known,1993,Baseball,1993 Topps Finest Baseball,Base,Refractor,Yes,exact/set metadata,1993 Topps Finest Baseball - Base - Refractor,1:15,,,Already live in current JSON.
known,1993-94,Basketball,1993-94 Upper Deck Special Edition Basketball,Base,Electric Court Gold,Yes,exact/set metadata,1993-94 Upper Deck Special Edition Basketball - Base - Electric Court Gold,1:36,,,Already live in current JSON.
known,1993-94,Basketball,1993-94 Topps Stadium Club Basketball,Beam Team,,Yes,exact/set metadata,1993-94 Topps Staidum Club Basketball - Insert - Beam Team,1:24,,,Already live in current JSON; source data currently spells Stadium as Staidum.
known,1993-94,Basketball,1993-94 Topps Stadium Club Basketball,Base,First Day Issue,Yes,exact/set metadata,1993-94 Topps Staidum Club Basketball - Base - First Day Issue,1:24,1000,,Already live in current JSON; source data currently spells Stadium as Staidum.
known,1994,Baseball,1994 Bowman's Best Baseball,Base,Refractor,Yes,exact/set metadata,1994 Bowmans Best Baseball - Base - Refractor,1:9,,,Already live in current JSON.
known,1994,Baseball,1994 Topps Finest Baseball,Base,Refractor,Yes,exact/set metadata,1994 Topps Finest Baseball - Base - Refractor,1:9,,,Already live in current JSON.
known,1994,Football,1994 Topps Finest Football,Base,Refractor,Yes,exact/set metadata,1994 Topps Finest Football - Base - Refractor,1:9,,,Already live in current JSON.
known,1994-95,Basketball,1994-95 Upper Deck SP Championship Basketball,Playoff Heroes,Die-Cut,Yes,exact title,1994-95 Upper Deck SP Championship Basketball - Insert - Playoff Heroes - Die-Cut,1:225,,,Already live in current JSON.
known,1994-95,Basketball,1994-95 Upper Deck Collector's Choice Basketball,Base,Gold Signature,Yes,exact/set metadata,1994-95 Upper Deck Collectors Choice Basketball - Base - Gold Signature,1:35*,,,Already live in current JSON.
known,1994-95,Basketball,1994-95 Upper Deck Basketball,Special Edition,Gold,Yes,exact title,1994-95 Upper Deck Basketball - Insert - Special Edition - Gold,1:35,,,Already live in current JSON.
known,1995,Baseball,1995 Topps Finest Baseball,Base,Refractor,Yes,exact/set metadata,1995 Topps Finest Baseball - Base - Refractor,1:12,,,Already live in current JSON.
known,1995,Football,1995 Topps Finest Football,Base,Refractor,Yes,exact/set metadata,1995 Topps Finest Football - Base - Refractor,1:12,,,Already live in current JSON.
known,1995,Football,1995 Topps Finest Football,Booster,Refractor,Yes,exact title,1995 Topps Finest Football - Insert - Booster - Refractor,1:12,,,Already live in current JSON.
known,1995,Football,1994 Bowman's Best Football,Base,Refractor,Yes,exact/set metadata,1994 Bowmans Best Football - Base - Refractor,1:6,,,Already live in current JSON; year value in current source row is 1995 while display/code says 1994.
