Code,DisplayName,Keywords,year,sport,manufacturer,product,setType,setLine,parallel,printRun,serial,subSetSize,packOdds
1992_93_fleer_basketball,1992-93 Fleer Basketball,fleer basketball all stars,1992-93,Basketball,Fleer,,Insert,All Stars,,,,,1:9
1992_93_fleer_basketball,1992-93 Fleer Basketball,fleer basketball sharpshooters,1992-93,Basketball,Fleer,,Insert,Sharpshooters,,,,,1:3
1992_93_fleer_basketball,1992-93 Fleer Basketball,fleer basketball total d,1992-93,Basketball,Fleer,,Insert,Total D,,,,,1:5
1992_93_hoops_basketball,1992-93 Hoops Basketball,hoops basketball ultimate game,1992-93,Basketball,Hoops,,Insert,Ultimate Game,,,,,1:92
1992_93_hoops_basketball,1992-93 Hoops Basketball,hoops basketball supreme court,1992-93,Basketball,Hoops,,Insert,Supreme Court,,,,,1:11
1992_93_skybox_basketball,1992-93 Skybox Basketball,skybox basketball olympic team,1992-93,Basketball,Skybox,,Insert,Olympic Team,,,,,1:6
1992_93_topps_stadium_club_basketball,1992-93 Topps Stadium Club Basketball,topps stadium club basketball beam team,1992-93,Basketball,Topps,Stadium Club,Insert,Beam Team,,,,,1:36
1993_94_topps_finest_basketball,1993-94 Topps Finest Basketball,topps finest basketball base refractor,1993-94,Basketball,Topps,Finest,Base,Base,Refractor,,,,1:9*
1993_94_fleer_basketball,1993-94 Fleer Basketball,fleer basketball all stars,1993-94,Basketball,Fleer,,Insert,All Stars,,,,,1:10
1993_94_topps_stadium_club_basketball,1993-94 Topps Stadium Club Basketball,topps stadium club basketball beam team,1993-94,Basketball,Topps,Stadium Club,Insert,Beam Team,,,,,1:24
1993_94_topps_stadium_club_basketball,1993-94 Topps Stadium Club Basketball,topps stadium club basketball base first day issue,1993-94,Basketball,Topps,Stadium Club,Base,Base,First Day Issue,1000,,,1:24
1993_94_upper_deck_special_edition_basketball,1993-94 Upper Deck Special Edition Basketball,upper deck special edition basketball base electric court,1993-94,Basketball,Upper Deck,Special Edition,Base,Base,Electric Court,,,,1:1*
1993_94_upper_deck_special_edition_basketball,1993-94 Upper Deck Special Edition Basketball,upper deck special edition basketball base electric court gold,1993-94,Basketball,Upper Deck,Special Edition,Base,Base,Electric Court Gold,,,,1:36
1994_95_upper_deck_collectors_choice_basketball,1994-95 Upper Deck Collectors Choice Basketball,upper deck collectors choice basketball base gold signature,1994-95,Basketball,Upper Deck,Collectors Choice,Base,Base,Gold Signature,,,,1:35*
1994_95_topps_finest_basketball,1994-95 Topps Finest Basketball,topps finest basketball cornerstone,1994-95,Basketball,Topps,Finest,Insert,Cornerstone,,,,,1:24
1994_95_topps_finest_basketball,1994-95 Topps Finest Basketball,topps finest basketball base refractor,1994-95,Basketball,Topps,Finest,Base,Base,Refractor,,,,1:12
1994_95_fleer_flair_basketball,1994-95 Fleer Flair Basketball,fleer flair basketball hot numbers,1994-95,Basketball,Fleer,Flair,Insert,Hot Numbers,,,,,1:6
1994_95_fleer_flair_basketball,1994-95 Fleer Flair Basketball,fleer flair basketball play maker,1994-95,Basketball,Fleer,Flair,Insert,Play Maker,,,,,1:4
1994_95_upper_deck_sp_basketball,1994-95 Upper Deck SP Basketball,upper deck sp basketball base die-cut,1994-95,Basketball,Upper Deck,SP,Base,Base,Die-Cut,,,,1:1
