Code,DisplayName,Keywords,year,sport,manufacturer,product,setType,setLine,parallel,printRun,serial,subSetSize,packOdds,findingStatus,confidence,sourceNote
1993_94_topps_stadium_club_basketball,1993-94 Topps Stadium Club Basketball,topps stadium club finest test refractor basketball,1993-94,Basketball,Topps,Stadium Club,Insert,Finest,Test Refractor,,,,,Needs source,Low,No reliable pack-odds/serial source found in quick pass.
1994_bowmans_best_baseball_red_refractor,1994 Bowman's Best Baseball,bowmans best baseball red refractor,1994,Baseball,Bowman,Best,Base,Red,Refractor,,,200,1:9,Current PRV/inferred,Medium,Current PRV has 1994 Bowmans Best Baseball Refractor at 1:9; red subset likely same refractor insertion family but verify wrapper/checklist before import.
1994_bowmans_best_football_red_refractor,1994 Bowman's Best Football,bowmans best football red refractor,1994,Football,Bowman,Best,Base,Red,Refractor,,,180,1:6,Current PRV/inferred,Medium,Current PRV has 1994 Bowmans Best Football Refractor at 1:6; red subset likely same refractor insertion family but verify wrapper/checklist before import.
1995_bowmans_best_baseball_atomic_refractor,1995 Bowman's Best Baseball,bowmans best baseball atomic refractor,1995,Baseball,Bowman,Best,Base,Base,Atomic Refractor,,,,,Needs source,Low,"Refractor reference confirms Atomic Refractors are a Bowmans Best rarity class, but exact 1995 baseball odds not verified."
1995_bowmans_best_football_atomic_refractor,1995 Bowman's Best Football,bowmans best football atomic refractor,1995,Football,Bowman,Best,Base,Base,Atomic Refractor,,,,,Needs source,Low,"Refractor reference confirms Atomic Refractors are a Bowmans Best rarity class, but exact 1995 football odds not verified."
1996_topps_chrome_basketball_refractor,1996-97 Topps Chrome Basketball,topps chrome basketball refractor,1996-97,Basketball,Topps,Chrome,Base,Base,Refractor,,,,1:12,Common hobby reference,Medium,Commonly cited as 1:12 packs; still needs wrapper/checklist source before production import.
1996_topps_chrome_basketball_nba_at_50_refractor,1996-97 Topps Chrome Basketball,topps chrome basketball nba at 50 refractor,1996-97,Basketball,Topps,Chrome,Insert,NBA at 50,Refractor,,,,,Needs source,Low,"Base refractor odds are commonly cited, but NBA at 50 refractor odds not verified."
1996_topps_chrome_baseball_refractor,1996 Topps Chrome Baseball,topps chrome baseball refractor,1996,Baseball,Topps,Chrome,Base,Base,Refractor,,,,1:12,Common hobby reference,Medium,Commonly cited as 1:12 packs; still needs wrapper/checklist source before production import.
1997_topps_chrome_basketball_refractor,1997-98 Topps Chrome Basketball,topps chrome basketball refractor,1997-98,Basketball,Topps,Chrome,Base,Base,Refractor,,,,1:12,Common hobby reference,Medium,Commonly cited as 1:12 packs; still needs wrapper/checklist source before production import.
1997_topps_finest_basketball_embossed_refractor,1997-98 Topps Finest Basketball,topps finest basketball embossed refractor,1997-98,Basketball,Topps,Finest,Base,Embossed,Refractor,,,,,Needs source,Low,Refractor reference says Embossed Refractor was first available in 1997; exact basketball odds not verified.
1997_metal_universe_basketball_pmg,1997-98 Metal Universe Basketball,metal universe basketball precious metal gems pmg,1997-98,Basketball,Fleer/SkyBox,Metal Universe,Parallel,Base,Precious Metal Gems,100,#/100,,,Serial verified,High,Serial #/100; Green 1-10 and Red 11-100. Source: Wikipedia most expensive sports cards PMG note.
1998_metal_universe_basketball_pmg,1998-99 Metal Universe Basketball,metal universe basketball precious metal gems pmg,1998-99,Basketball,Fleer/SkyBox,Metal Universe,Parallel,Base,Precious Metal Gems,50,#/50,,,Needs stronger source,Medium,"Widely cataloged as #/50, but not verified by source in this quick pass."
1997_ex2001_basketball_essential_credentials_now,1997-98 E-X2001 Basketball,ex2001 basketball essential credentials now,1997-98,Basketball,Fleer/SkyBox,E-X2001,Parallel,Essential Credentials,Now,,varies by card,,,Variable serial,Medium,Serial number varies by card number; do not import as one product-level printRun without per-card mapping.
1997_ex2001_basketball_essential_credentials_future,1997-98 E-X2001 Basketball,ex2001 basketball essential credentials future,1997-98,Basketball,Fleer/SkyBox,E-X2001,Parallel,Essential Credentials,Future,,varies by card,,,Variable serial,Medium,Serial number varies by card number; do not import as one product-level printRun without per-card mapping.
1997_flair_showcase_basketball_legacy_collection,1997-98 Flair Showcase Basketball,flair showcase basketball legacy collection,1997-98,Basketball,Fleer,Flair Showcase,Parallel,Legacy Collection,,100,#/100,,,Needs stronger source,Medium,Widely cataloged as #/100; verify row/section details before import.
1997_skybox_z_force_basketball_rave,1997-98 SkyBox Z-Force Basketball,skybox z force basketball rave,1997-98,Basketball,SkyBox,Z-Force,Parallel,Base,Rave,399,#/399,,,Needs stronger source,Medium,Widely cataloged as #/399; verify with checklist/source before import.
1997_skybox_z_force_basketball_super_rave,1997-98 SkyBox Z-Force Basketball,skybox z force basketball super rave,1997-98,Basketball,SkyBox,Z-Force,Parallel,Base,Super Rave,50,#/50,,,Needs stronger source,Medium,Widely cataloged as #/50; verify with checklist/source before import.
1997_skybox_ex2001_basketball_jambalaya,1997-98 E-X2001 Basketball,ex2001 basketball jambalaya,1997-98,Basketball,Fleer/SkyBox,E-X2001,Insert,Jambalaya,,,,,1:720,Common hobby reference,Medium,Commonly cited as 1:720 packs; needs wrapper/checklist source before production import.
1998_flair_showcase_basketball_legacy_collection,1998-99 Flair Showcase Basketball,flair showcase basketball legacy collection,1998-99,Basketball,Fleer,Flair Showcase,Parallel,Legacy Collection,,99,#/99,,,Needs stronger source,Medium,Widely cataloged as #/99; verify row/section details before import.
1998_skybox_premium_basketball_star_rubies,1998-99 SkyBox Premium Basketball,skybox premium basketball star rubies,1998-99,Basketball,SkyBox,Premium,Parallel,Base,Star Rubies,50,#/50,,,Needs stronger source,Medium,Widely cataloged as #/50; verify with checklist/source before import.
1998_topps_chrome_basketball_refractor,1998-99 Topps Chrome Basketball,topps chrome basketball refractor,1998-99,Basketball,Topps,Chrome,Base,Base,Refractor,,,,1:12,Common hobby reference,Medium,Commonly cited as 1:12 packs; still needs wrapper/checklist source before production import.
2000_bowman_chrome_football_refractor,2000 Bowman Chrome Football,bowman chrome football refractor,2000,Football,Bowman,Chrome,Base,Base,Refractor,,,,,Needs source,Low,No reliable quick-pass source found.
2000_topps_chrome_football_refractor,2000 Topps Chrome Football,topps chrome football refractor,2000,Football,Topps,Chrome,Base,Base,Refractor,,,,,Needs source,Low,No reliable quick-pass source found.
2003_topps_chrome_basketball_refractor,2003-04 Topps Chrome Basketball,topps chrome basketball refractor lebron wade carmelo bosh,2003-04,Basketball,Topps,Chrome,Base,Base,Refractor,999,#/999,,,Serial widely cataloged,High,Base Refractors are widely cataloged as #/999.
2003_bowman_chrome_basketball_refractor,2003-04 Bowman Chrome Basketball,bowman chrome basketball refractor lebron wade carmelo bosh,2003-04,Basketball,Bowman,Chrome,Base,Base,Refractor,300,#/300,,,Serial widely cataloged,High,Base Refractors are widely cataloged as #/300.
2003_bowman_chrome_basketball_xfractor,2003-04 Bowman Chrome Basketball,bowman chrome basketball xfractor lebron wade carmelo bosh,2003-04,Basketball,Bowman,Chrome,Base,Base,X-Fractor,150,#/150,,,Serial widely cataloged,High,X-Fractors are widely cataloged as #/150.
